Country,Sex,Year,Age group,Mean height,Mean height lower 95% uncertaint,Mean height upper 95% uncertaint
Afghanistan,Girls,2019,19,156.1131365,154.4479812,157.7240722
Albania,Girls,2019,19,162.228577,160.871162,163.7092662
Algeria,Girls,2019,19,162.3471758,160.44754,164.2099197
American Samoa,Girls,2019,19,167.5515216,164.0441094,170.8741283
Andorra,Girls,2019,19,165.5339424,157.3110416,174.6262154
Angola,Girls,2019,19,158.0968993,149.826408,167.4957439
Antigua and Barbuda,Girls,2019,19,165.7236873,160.2999907,172.4309838
Argentina,Girls,2019,19,161.2204189,160.0420715,162.4709006
Armenia,Girls,2019,19,159.8502379,158.4645979,161.1816536
Australia,Girls,2019,19,164.6657115,163.929644,165.4881899
Austria,Girls,2019,19,166.9267081,165.2153442,168.6093191
Azerbaijan,Girls,2019,19,161.3748814,159.6320559,163.1329562
Bahamas,Girls,2019,19,163.4605059,160.8127051,166.7324684
Bahrain,Girls,2019,19,158.2908386,156.6169698,160.3320552
Bangladesh,Girls,2019,19,152.3776067,151.4368111,153.3894079
Barbados,Girls,2019,19,165.6637541,163.193573,168.4339819
Belarus,Girls,2019,19,166.9286256,164.7868598,169.142013
Belgium,Girls,2019,19,163.4017271,162.3059205,164.5500281
Belize,Girls,2019,19,158.1200655,155.517614,160.9847215
Benin,Girls,2019,19,158.4004184,157.1945636,159.6074207
Bermuda,Girls,2019,19,166.1100662,158.0716444,175.0470241
Bhutan,Girls,2019,19,155.1525549,152.9690415,157.3320416
Bolivia,Girls,2019,19,155.5752266,153.7796032,157.4838926
Bosnia and Herzegovina,Girls,2019,19,167.4703934,165.0007199,169.9426759
Botswana,Girls,2019,19,162.0619929,160.111091,164.0951905
Brazil,Girls,2019,19,162.4109716,161.7300774,163.0825854
Brunei Darussalam,Girls,2019,19,154.8975092,153.4893388,156.4340082
Bulgaria,Girls,2019,19,164.5763997,157.9027337,172.4312932
Burkina Faso,Girls,2019,19,161.3260572,159.5137989,163.1547946
Burundi,Girls,2019,19,155.0750944,153.6058716,156.5753229
Cabo Verde,Girls,2019,19,163.0984081,159.647123,166.457142
Cambodia,Girls,2019,19,154.749508,153.2669334,156.237345
Cameroon,Girls,2019,19,160.4111854,159.1903517,161.6049897
Canada,Girls,2019,19,164.7299393,163.7857192,165.7388328
Central African Republic,Girls,2019,19,159.6509569,156.6009595,162.6378739
Chad,Girls,2019,19,162.124187,160.3841806,163.8913745
Chile,Girls,2019,19,159.4177472,158.2257827,160.7550859
China,Girls,2019,19,163.464143,162.641039,164.2541904
China (Hong Kong SAR),Girls,2019,19,160.6180502,158.3939118,162.8542264
Colombia,Girls,2019,19,157.9637321,156.7530611,159.1440066
Comoros,Girls,2019,19,156.5389135,154.7719239,158.3699186
Congo,Girls,2019,19,158.7799374,157.0348727,160.4653179
Cook Islands,Girls,2019,19,167.3085696,165.4927536,169.3852861
Costa Rica,Girls,2019,19,160.357674,158.4501117,162.4653182
Cote d'Ivoire,Girls,2019,19,158.6523799,156.8375012,160.4353292
Croatia,Girls,2019,19,166.8030687,165.3448311,168.3714675
Cuba,Girls,2019,19,160.1349333,158.3057545,161.9548239
Cyprus,Girls,2019,19,160.5529092,158.2860523,163.6693736
Czech Republic,Girls,2019,19,167.9634761,166.5814416,169.376792
Denmark,Girls,2019,19,169.4706062,168.3934304,170.5650788
Djibouti,Girls,2019,19,159.8239953,151.5950564,168.8730883
Dominica,Girls,2019,19,166.8884613,164.5216296,169.5391052
Dominican Republic,Girls,2019,19,161.2094022,159.6515071,162.8650708
DR Congo,Girls,2019,19,156.3007255,154.6451389,157.9552385
Ecuador,Girls,2019,19,155.2489338,153.8882465,156.6060213
Egypt,Girls,2019,19,160.8845002,159.6235623,162.1715329
El Salvador,Girls,2019,19,156.3895702,154.5844186,158.2195843
Equatorial Guinea,Girls,2019,19,158.049563,149.8569894,167.2634572
Eritrea,Girls,2019,19,157.5803008,155.4436635,159.7112757
Estonia,Girls,2019,19,168.6627596,167.3470281,169.9827635
Ethiopia,Girls,2019,19,157.1513304,155.7816464,158.5245018
Fiji,Girls,2019,19,164.2814691,162.5616359,165.9566306
Finland,Girls,2019,19,166.4751191,165.2371912,167.7664459
France,Girls,2019,19,164.4886274,163.0220944,166.071201
French Polynesia,Girls,2019,19,166.518656,164.5111772,168.7720282
Gabon,Girls,2019,19,160.0451908,158.1278493,161.9562702
Gambia,Girls,2019,19,161.7281894,159.8731119,163.5955227
Georgia,Girls,2019,19,163.2390056,161.4512178,165.0291386
Germany,Girls,2019,19,166.177267,164.6783855,167.8419621
Ghana,Girls,2019,19,158.8551002,157.287284,160.3978686
Greece,Girls,2019,19,165.8130758,164.3376126,167.3428177
Greenland,Girls,2019,19,161.3955504,158.9673706,163.9587225
Grenada,Girls,2019,19,165.9886854,163.0460133,168.8221012
Guatemala,Girls,2019,19,150.9139679,149.4257631,152.4059636
Guinea,Girls,2019,19,158.7521597,157.3618664,160.084217
Guinea Bissau,Girls,2019,19,158.7193539,156.5713976,160.9541113
Guyana,Girls,2019,19,159.5686675,158.0241652,161.1096626
Haiti,Girls,2019,19,160.5749918,159.2334803,161.8980169
Honduras,Girls,2019,19,155.1831397,153.5030237,156.9347636
Hungary,Girls,2019,19,162.5462546,158.3271511,168.4441562
Iceland,Girls,2019,19,168.9134842,165.8389909,172.0420424
India,Girls,2019,19,155.1781714,154.5545299,155.8027723
Indonesia,Girls,2019,19,154.3551613,153.3304052,155.3715882
Iran,Girls,2019,19,161.1837018,160.4104679,161.9920843
Iraq,Girls,2019,19,158.748746,156.797396,160.777784
Ireland,Girls,2019,19,164.4968527,162.6961825,166.3664816
Israel,Girls,2019,19,162.2225456,160.7697182,163.8672588
Italy,Girls,2019,19,161.810158,160.5260959,163.0974037
Jamaica,Girls,2019,19,164.3192602,162.517546,166.1439371
Japan,Girls,2019,19,158.5037434,158.0382951,158.968706
Jordan,Girls,2019,19,159.4624081,158.2410281,160.6753834
Kazakhstan,Girls,2019,19,161.7446106,160.1642129,163.3607102
Kenya,Girls,2019,19,159.4338103,158.0996408,160.7255194
Kiribati,Girls,2019,19,161.0399239,159.2172735,162.9157416
Kuwait,Girls,2019,19,160.1019556,158.7240345,161.6050016
Kyrgyzstan,Girls,2019,19,160.2019309,158.5504556,161.842914
Lao PDR,Girls,2019,19,153.0990839,151.2739834,154.9243708
Latvia,Girls,2019,19,168.8066284,165.906652,171.669956
Lebanon,Girls,2019,19,163.6704906,161.97516,165.4413413
Lesotho,Girls,2019,19,156.7207687,155.1681183,158.311798
Liberia,Girls,2019,19,156.5414075,154.8007768,158.2852468
Libya,Girls,2019,19,162.5616604,159.7159952,165.4378649
Lithuania,Girls,2019,19,167.6298923,165.0730503,170.2640263
Luxembourg,Girls,2019,19,165.0690213,162.3732947,167.8667471
Macedonia (TFYR),Girls,2019,19,160.8842672,158.3769979,163.6159801
Madagascar,Girls,2019,19,153.0638056,151.186607,154.9174887
Malawi,Girls,2019,19,156.1409983,154.9935619,157.2958774
Malaysia,Girls,2019,19,157.0637126,155.9094069,158.2594899
Maldives,Girls,2019,19,154.2846913,152.935259,155.7177527
Mali,Girls,2019,19,161.9892021,160.749965,163.2038141
Malta,Girls,2019,19,162.9504739,156.3860528,170.8618402
Marshall Islands,Girls,2019,19,154.757255,152.068369,157.5161653
Mauritania,Girls,2019,19,160.0617358,157.4646722,162.5686791
Mauritius,Girls,2019,19,158.9428354,157.7250878,160.2036601
Mexico,Girls,2019,19,157.9019214,156.8642435,158.9477856
Micronesia (Federated States of),Girls,2019,19,159.6585322,157.4600728,161.909026
Moldova,Girls,2019,19,162.9612374,161.1707131,164.8108262
Mongolia,Girls,2019,19,159.8935082,158.6319633,161.2149014
Montenegro,Girls,2019,19,169.9608833,168.282462,171.7843751
Morocco,Girls,2019,19,161.1808557,159.4796056,162.8871747
Mozambique,Girls,2019,19,155.4209895,153.9228189,156.9279258
Myanmar,Girls,2019,19,154.7139858,153.1772671,156.2230528
Namibia,Girls,2019,19,160.2561216,158.5662103,161.9203247
Nauru,Girls,2019,19,157.8220749,156.0840554,159.6430817
Nepal,Girls,2019,19,152.3889602,151.2994328,153.524715
Netherlands,Girls,2019,19,170.3612107,168.3347478,172.3878453
New Zealand,Girls,2019,19,164.6600412,163.7453163,165.566742
Nicaragua,Girls,2019,19,155.621106,154.051626,157.2302562
Niger,Girls,2019,19,159.8149349,158.0048612,161.5856123
Nigeria,Girls,2019,19,158.137273,156.662592,159.6137506
Niue,Girls,2019,19,167.0322654,164.5360845,169.7083152
North Korea,Girls,2019,19,161.2175424,152.9195337,170.678353
Norway,Girls,2019,19,166.448307,164.8667843,168.093436
Occupied Palestinian Territory,Girls,2019,19,161.2777263,159.4367537,163.1604635
Oman,Girls,2019,19,158.4350097,156.8051207,160.1569797
Pakistan,Girls,2019,19,154.7706078,153.4584777,156.1112013
Palau,Girls,2019,19,159.517622,156.5455506,162.5032001
Panama,Girls,2019,19,158.1864561,156.3638421,160.0190573
Papua New Guinea,Girls,2019,19,156.8944981,154.3926197,159.4960027
Paraguay,Girls,2019,19,159.762217,157.6500299,162.0705635
Peru,Girls,2019,19,154.3871646,153.6502748,155.0984385
Philippines,Girls,2019,19,154.144211,153.1668853,155.0928132
Poland,Girls,2019,19,165.7761352,164.5716094,166.950701
Portugal,Girls,2019,19,161.2271328,159.6629961,162.8025271
Puerto Rico,Girls,2019,19,163.0573217,159.9801641,166.1822307
Qatar,Girls,2019,19,160.7157302,158.8272159,162.6111145
Romania,Girls,2019,19,164.7308377,163.3204225,166.111695
Russian Federation,Girls,2019,19,164.5173719,163.0117215,166.0299837
Rwanda,Girls,2019,19,156.7193229,155.3515523,158.0343894
Saint Kitts and Nevis,Girls,2019,19,162.7824413,160.4505344,165.7370618
Saint Lucia,Girls,2019,19,165.5245375,162.771345,168.3241415
Saint Vincent and the Grenadines,Girls,2019,19,165.3026536,163.4477489,167.2360975
Samoa,Girls,2019,19,163.8159608,161.7714873,165.8521086
Sao Tome and Principe,Girls,2019,19,159.8104627,157.7349388,161.9552034
Saudi Arabia,Girls,2019,19,158.8377261,157.4347323,160.2322569
Senegal,Girls,2019,19,163.9240914,162.1744463,165.6890884
Serbia,Girls,2019,19,168.285067,166.7734043,169.8586379
Seychelles,Girls,2019,19,162.4655675,160.9731584,164.1933625
Sierra Leone,Girls,2019,19,157.335599,155.529082,159.1181613
Singapore,Girls,2019,19,161.3047179,159.5190582,163.1896158
Slovakia,Girls,2019,19,167.1227997,165.7151603,168.6073348
Slovenia,Girls,2019,19,167.1975653,166.7021172,167.7183445
Solomon Islands,Girls,2019,19,156.7888442,154.8770472,158.6698035
Somalia,Girls,2019,19,159.8572748,156.1899053,163.5405755
South Africa,Girls,2019,19,158.5787176,157.5920856,159.5646404
South Korea,Girls,2019,19,163.22541,162.57536,163.8423581
Spain,Girls,2019,19,162.027874,161.0482751,163.0566041
Sri Lanka,Girls,2019,19,155.8757964,154.2264043,157.5186909
Sudan,Girls,2019,19,160.3617147,158.4755072,162.3010096
Suriname,Girls,2019,19,162.2638615,158.7595962,165.8501832
Swaziland,Girls,2019,19,158.9213854,157.2270812,160.6882882
Sweden,Girls,2019,19,166.6739103,165.2855864,168.1738058
Switzerland,Girls,2019,19,164.3299732,161.9584551,166.8018832
Syrian Arab Republic,Girls,2019,19,159.3794885,151.1218375,168.5262661
Taiwan,Girls,2019,19,160.6953329,159.336744,162.1828902
Tajikistan,Girls,2019,19,158.1217805,156.8612641,159.3884959
Tanzania,Girls,2019,19,156.8863466,155.5073422,158.3473598
Thailand,Girls,2019,19,159.417654,158.1987781,160.6892826
Timor-Leste,Girls,2019,19,152.7123349,151.2546442,154.2222019
Togo,Girls,2019,19,159.1294047,157.5948528,160.712905
Tokelau,Girls,2019,19,166.0753995,163.9151498,168.2657985
Tonga,Girls,2019,19,166.0793945,164.3911221,167.795821
Trinidad and Tobago,Girls,2019,19,163.3798399,160.7425622,166.4399618
Tunisia,Girls,2019,19,161.6854548,159.8685045,163.5912168
Turkey,Girls,2019,19,161.80204,160.4667805,163.1257843
Turkmenistan,Girls,2019,19,162.8271298,161.3126599,164.3968632
Tuvalu,Girls,2019,19,163.5700611,161.5766605,165.5911598
Uganda,Girls,2019,19,158.5279616,157.3038781,159.7736147
Ukraine,Girls,2019,19,166.6226773,164.8217644,168.4917619
United Arab Emirates,Girls,2019,19,160.5303006,158.9667128,162.2086837
United Kingdom,Girls,2019,19,163.9391448,163.4605892,164.4446372
United States of America,Girls,2019,19,163.3118826,162.5069857,164.1066655
Uruguay,Girls,2019,19,161.5584634,160.0789709,163.212538
Uzbekistan,Girls,2019,19,160.2883173,158.8770884,161.7265171
Vanuatu,Girls,2019,19,160.4836304,157.8242368,163.1300377
Venezuela,Girls,2019,19,160.0370075,157.9674967,162.1531842
Viet Nam,Girls,2019,19,158.425687,157.3364694,159.5455856
Yemen,Girls,2019,19,154.7560774,153.1180779,156.3829185
Zambia,Girls,2019,19,157.3152177,156.0036298,158.6241079
Zimbabwe,Girls,2019,19,159.8490637,158.3820944,161.2839729
